Name,Symbol,APIR Code,Morningstar Medalist Rating™,Analyst-Driven %,Data Coverage %,Medalist Rating Date,Morningstar ESG Risk Rating,Morningstar Category,Low Carbon Designation,Sustainable Investment (By Prospectus),Historical Corporate Sustainability Score,Historical Sovereign Sustainability Score,Corporate Sustainability Percent Rank,Portfolio Carbon Risk Score,Fossil Fuel % Covered Portfolio Involved,Alcohol(%),Animal Testing(%),Controversial Weapons(%),Tobacco(%),Gambling(%),Small Arms(%),Thermal Coal(%),1 Month Return (%),3 Months Return (%),6 Months Return (%),YTD Return (%),1 Year Annualised (%),3 Years Annualised (%),5 Years Annualised (%),10 Years Annualised (%),Investment Management Fee(%),TCR (P),Manager Tenure (Yrs),Fund Size (Mil),Equity StyleBox™,Fixed Income StyleBox™,Average Market Cap (Mil),Average Credit Quality,Effective Duration,Morningstar Rating,Morningstar Risk (Rel to Category),3 Year Alpha,3 Year Beta,3 Year R-Squared,3 Year Standard Deviation,3 Year Sharpe Ratio
5AM Capital Global Equity Fund Class A,47012,GCL3663AU,,,,,,Equity World Large Growth,,No,,,,,,,,,,,,,1.21,0.24,12.52,2.99,16.38,,,,1.00,1.00,,,,,,,,,,,,,,
AB Concentrated Australian Equities Fund,41981,ACM0005AU,Negative,55.00,98.00,2025-03-31,4,Equity Australia Large Value,No,No,,,,9.55,20.08,4.92,11.81,0,0,4.4,0.00,12.35,2.85,0.22,3.57,3.67,8.23,6.08,12.30,,0.40,0.40,7.92,153.42 ,Large Value,,,,,3,1,−0.41,0.79,86.58,11.47,0.25
AB Global Equities Fund,40956,ACM0009AU,,,,,5,Equity World Large Blend,Yes,No,,,,4.57,5.98,6.42,16.25,0.93,0,2.05,0.00,1.49,−2.86,−5.59,1.99,−2.07,9.82,12.14,10.26,,0.70,0.70,9.83,318.15 ,Large Blend,,,,,2,2,−0.67,0.80,84.22,10.24,0.81
AB Global Strategic Core Equities Fund,47013,ACM3679AU,,,,,4,Equity World Large Blend,Yes,No,,,,4.68,5.50,0,15.8,0.36,0,0,0.36,0.00,−1.87,−5.20,4.65,−2.50,,,,,0.70,0.70,,,Large Blend,,,,,,,,,,,
AB Managed Volatility Equities Fund,40678,ACM0006AU,Neutral,100.00,100.00,2024-05-28,3,Equity Australia Large Blend,No,No,,,,8.43,10.04,1.89,12.33,1.98,0,7.04,1.98,4.87,2.75,0.81,8.59,5.13,13.72,5.08,7.57,7.57,0.55,0.55,6.42,"1,013.61 ",Large Blend,,,,,3,1,−0.74,0.58,73.22,9.26,0.18
AB Managed Volatility Equities Fund - Carbon Offset Class,43421,ACM3950AU,,,,,4,Equity Australia Large Blend,Yes,Yes,,,,6.70,0.00,1.91,11.45,1.87,0,8.2,1.87,0.00,3.55,0.78,9.16,5.23,15.04,5.80,8.12,,0.35,0.47,6.42,,Large Blend,,,,,2,1,−0.12,0.61,74.30,9.54,0.25
AB Sustainable Global Thematic Equities Fund,45900,ACM8902AU,Neutral,100.00,100.00,2025-03-31,4,Equity World Large Growth,Yes,Yes,,,,5.32,5.85,0,17.37,0,0,0,0.00,0.00,−1.09,−10.81,−5.51,−8.08,2.80,,,,1.05,1.05,2.42,,Large Growth,,,,,,,,,,,
abrdn International Equity Fund,4768,EQI0015AU,Negative,10.00,96.00,2025-03-31,4,Equity World Large Growth,Yes,No,,,,3.30,0.00,2.32,25.3,0,0,0,0.00,0.00,0.00,−7.91,−1.47,−5.56,2.97,10.49,11.01,8.38,0.98,0.98,10.25,36.00 ,Large Growth,,,,,3,1,−2.21,0.82,72.73,11.19,0.62
abrdn Sustainable Emerging Opportunities Fund,11594,ETL0032AU,Neutral,55.00,100.00,2025-03-31,4,Equity Emerging Markets,Yes,Yes,,,,6.57,0.93,0,3.36,0,0,0,0.00,0.00,−1.58,−2.58,−1.38,−2.71,6.98,5.03,4.58,3.38,0.99,0.99,20.83,209.07 ,Large Growth,,,,,2,4,−1.88,0.86,88.78,10.12,0.17
Abrdn Sustainable International Equities Fund,2969,CRS0005AU,Negative,10.00,96.00,2025-03-31,5,Equity World Large Growth,Yes,Yes,,,,3.75,0.00,0,25.58,0,0,0,0.00,0.00,0.22,−8.75,−1.55,−6.27,−0.42,7.94,9.52,7.58,0.98,0.98,26.67,,Large Growth,,,,,2,1,−5.09,0.87,77.22,11.52,0.40
Acadian Australian Equity Long Short-Class A,42197,FSF3982AU,Neutral,10.00,94.00,2025-03-31,3,Equity Australia Large Blend,No,No,,,,10.55,17.10,0,5.92,0,0,4.32,0.00,9.92,4.57,−3.48,4.34,0.88,17.70,11.28,15.99,,0.76,0.76,16.25,237.52 ,Large Blend,,,,,5,4,3.88,0.98,95.36,13.51,0.59
Acadian Enhanced Emerging Markets Equity,47223,FSF7653AU,,,,,,Equity Emerging Markets,,No,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,
Acadian Global Equity Long Short-Class A,42198,FSF1978AU,Bronze,10.00,94.00,2025-03-31,2,Equity World Large Value,Yes,No,,,,6.17,3.96,0.01,7.68,0.41,0.02,0.22,0.06,0.18,−1.68,−8.53,3.32,−3.36,7.01,21.30,24.07,,0.92,0.92,8.58,606.79 ,Mid Blend,,,,,5,4,6.09,0.94,73.23,12.78,1.30
Acadian Global Managed Volatility Equity - Class A,19591,FSF1240AU,Bronze,100.00,100.00,2025-05-05,2,Equity World Large Blend,Yes,No,,,,7.81,5.83,0.07,22.95,0,0,0.46,0.00,0.79,−0.57,0.49,9.21,2.77,19.43,13.96,12.12,9.79,0.63,0.63,11.58,269.93 ,Large Blend,,,,,3,1,3.10,0.60,70.00,8.36,1.18
Adelaide Cash Management Trust,5601,AMF0100AU,,,,,,Australian Cash,,No,,,,,,,,,,,,,0.29,0.88,1.85,1.21,3.80,3.05,1.88,1.45,0.50,0.50,,178.70 ,,,,,,,,−0.51,0.87,78.59,0.32,−8.10
Advance Aus Fixed Intr Multi-Blend W,11172,ADV0084AU,Neutral,45.00,100.00,2025-03-31,3,Bonds - Australia,,No,,,,7.73,3.63,0,0.34,0,0,0,0.00,0.00,1.53,2.68,4.65,2.90,7.18,2.99,0.20,2.13,0.45,0.46,9.50,891.14 ,,Medium Moderate,,BBB,4.72,3,3,0.27,1.03,99.46,5.87,−0.10
Advance Australia Shr Multi-Blend W,4865,ADV0045AU,Negative,0.00,96.00,2025-03-31,3,Equity Australia Large Blend,No,No,,,,11.53,23.19,1.78,10.35,0,0,2.9,0.00,12.70,3.02,−4.94,−0.08,−0.64,8.16,6.80,11.87,7.46,0.75,0.77,6.92,"1,388.78 ",Large Blend,,,,,3,3,−0.34,1.00,99.10,13.56,0.28
Advance Cash Multi-Blend Fund,11177,ADV0069AU,,,,,,Australian Cash,,No,,,,7.11,0.00,0,0,0,0,0,0.00,0.00,0.39,1.09,2.28,1.50,4.64,3.86,2.35,2.21,0.12,0.14,,876.29 ,,Medium Limited,,BBB,0.17,,,0.30,1.01,54.32,0.34,0.70
Advance International Shr Multi-Blend W,4863,ADV0053AU,Negative,0.00,96.00,2025-03-31,3,Equity World Large Blend,Yes,No,,,,6.50,6.42,0.67,22.53,1.1,0.32,0.59,0.36,0.29,−2.33,−6.84,2.43,−3.86,10.73,12.38,12.49,10.18,0.95,0.98,6.92,"1,196.10 ",Large Blend,,,,,3,3,−1.11,0.86,96.63,10.27,0.83
AIA Pension Select - Australian Shares Fund,7351,COM0043AU,,,,,4,Equity Australia Large Blend,No,No,,,,6.58,14.33,0,9.86,0,0,0,0.00,8.92,3.93,−2.81,1.66,1.22,10.17,7.62,12.49,8.12,0.55,1.10,,21.23 ,Large Growth,,,,,,,0.46,0.98,99.32,13.34,0.34
AIA Pension Select - Savings Fund,2929,COM0491AU,,,,,,Australian Cash,,No,,,,,,,,,,,,,0.29,1.00,2.12,1.38,4.32,3.56,2.04,1.88,0.15,0.70,,221.42 ,,,,,,,,0.03,1.07,51.72,0.35,−1.56
AIA Per Super & Rollover Plan - AU Shares,4703,COM0042AU,,,,,,Equity Australia Large Blend,,No,,,,,,,,,,,,,3.26,−2.49,1.30,0.95,8.70,6.34,10.41,6.46,,1.91,,37.72 ,,,,,,,,−0.45,0.87,99.28,11.76,0.27
