investment_name,asset_class,return,risk,expense_ratio,alpha,sharpe_ratio
US Large Cap Fund,Equity,0.08,0.15,0.0075,0.01,0.53
Global Bond Fund,Fixed Income,0.04,0.06,0.0045,-0.005,0.67
Small Cap Index,Equity,0.09,0.22,0.0055,0.015,0.41
Emerging Markets ETF,Equity,0.11,0.25,0.0095,0.02,0.44
High-Yield Bond Fund,Fixed Income,0.06,0.12,0.0065,0.005,0.50
International Developed Markets,Equity,0.07,0.18,0.0085,0.008,0.39
Treasury Bond ETF,Fixed Income,0.025,0.04,0.0025,-0.008,0.63
REIT Fund,Real Estate,0.065,0.17,0.009,0.012,0.38
Commodities ETF,Commodities,0.05,0.2,0.0095,-0.01,0.25
Municipal Bond Fund,Fixed Income,0.035,0.05,0.005,0.002,0.7
